17:58:40 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
17:58:42 [Test worker] INFO  manager.ApplicationManager - Navigate to link ---> https://ilcarro.xyz/search
17:58:42 [Test worker] INFO  tests.TestBase - Start test --->addNewCarPositive
17:58:42 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //a[text()=' Log in ']
17:58:42 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //a[text()=' Log in '] was found
17:58:42 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //a[text()=' Log in ']
17:58:42 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //a[text()=' Log in '] was found
17:58:42 [Test worker] INFO  manager.MyListener - Start search element --->By.id: email
17:58:42 [Test worker] INFO  manager.MyListener - The element --->By.id: email was found
17:58:42 [Test worker] INFO  manager.MyListener - Start search element --->By.id: password
17:58:42 [Test worker] INFO  manager.MyListener - The element --->By.id: password was found
17:58:42 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //button[@type='submit']
17:58:42 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //button[@type='submit'] was found
17:58:42 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //button[text()='Ok']
17:58:43 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //button[text()='Ok'] was found
17:58:43 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //button[text()='Ok']
17:58:43 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //button[text()='Ok'] was found
17:58:44 [Test worker] INFO  manager.MyListener - Start search element --->By.id: 1
17:58:44 [Test worker] INFO  manager.MyListener - The element --->By.id: 1 was found
17:58:44 [Test worker] INFO  manager.MyListener - Start search element --->By.cssSelector: h2
17:58:44 [Test worker] INFO  manager.MyListener - The element --->By.cssSelector: h2 was found
17:58:44 [Test worker] INFO  manager.MyListener - Start search element --->By.id: pickUpPlace
17:58:44 [Test worker] INFO  manager.MyListener - The element --->By.id: pickUpPlace was found
17:58:44 [Test worker] INFO  manager.MyListener - Start search element --->By.cssSelector: div.pac-item
17:58:44 [Test worker] INFO  manager.MyListener - The element --->By.cssSelector: div.pac-item was found
17:58:45 [Test worker] INFO  manager.MyListener - Start search element --->By.id: make
17:58:45 [Test worker] INFO  manager.MyListener - The element --->By.id: make was found
17:58:45 [Test worker] INFO  manager.MyListener - Start search element --->By.id: model
17:58:45 [Test worker] INFO  manager.MyListener - The element --->By.id: model was found
17:58:46 [Test worker] INFO  manager.MyListener - Start search element --->By.id: year
17:58:46 [Test worker] INFO  manager.MyListener - The element --->By.id: year was found
17:58:46 [Test worker] INFO  manager.MyListener - Start search element --->By.id: engine
17:58:46 [Test worker] INFO  manager.MyListener - The element --->By.id: engine was found
17:58:46 [Test worker] INFO  manager.MyListener - Start search element --->By.id: fuel
17:58:46 [Test worker] INFO  manager.MyListener - The element --->By.id: fuel was found
17:58:46 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: .//option[@value = "Petrol"]
17:58:46 [Test worker] INFO  manager.MyListener - The element --->By.xpath: .//option[@value = "Petrol"] was found
17:58:46 [Test worker] INFO  manager.MyListener - Start search element --->By.id: gear
17:58:46 [Test worker] INFO  manager.MyListener - The element --->By.id: gear was found
17:58:46 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: .//option[@value = "MT"]
17:58:46 [Test worker] INFO  manager.MyListener - The element --->By.xpath: .//option[@value = "MT"] was found
17:58:46 [Test worker] INFO  manager.MyListener - Start search element --->By.id: wheelsDrive
17:58:46 [Test worker] INFO  manager.MyListener - The element --->By.id: wheelsDrive was found
