18:21:51 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
18:21:53 [Test worker] INFO  manager.ApplicationManager - Navigate to link ---> https://ilcarro.xyz/search
18:21:53 [Test worker] INFO  tests.TestBase - Start test --->addNewCarPositive
18:21:53 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //a[text()=' Log in ']
18:21:53 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //a[text()=' Log in '] was found
18:21:53 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //a[text()=' Log in ']
18:21:53 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //a[text()=' Log in '] was found
18:21:53 [Test worker] INFO  manager.MyListener - Start search element --->By.id: email
18:21:53 [Test worker] INFO  manager.MyListener - The element --->By.id: email was found
18:21:53 [Test worker] INFO  manager.MyListener - Start search element --->By.id: password
18:21:53 [Test worker] INFO  manager.MyListener - The element --->By.id: password was found
18:21:54 [Test worker] INFO  manager.MyListener - Start search element --->By.cssSelector: [type='submit']
18:21:54 [Test worker] INFO  manager.MyListener - The element --->By.cssSelector: [type='submit'] was found
18:21:54 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //button[text()='Ok']
18:21:54 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //button[text()='Ok'] was found
18:21:54 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: //button[text()='Ok']
18:21:54 [Test worker] INFO  manager.MyListener - The element --->By.xpath: //button[text()='Ok'] was found
18:21:55 [Test worker] INFO  manager.NgListener - Start of test ---->addNewCarPositive
18:21:55 [Test worker] INFO  manager.MyListener - Start search element --->By.id: 1
18:21:55 [Test worker] INFO  manager.MyListener - The element --->By.id: 1 was found
18:21:55 [Test worker] INFO  manager.MyListener - Start search element --->By.cssSelector: h2
18:21:55 [Test worker] INFO  manager.MyListener - The element --->By.cssSelector: h2 was found
18:21:55 [Test worker] INFO  manager.MyListener - Start search element --->By.id: pickUpPlace
18:21:56 [Test worker] INFO  manager.MyListener - The element --->By.id: pickUpPlace was found
18:21:56 [Test worker] INFO  manager.MyListener - Start search element --->By.cssSelector: div.pac-item
18:21:57 [Test worker] INFO  manager.MyListener - The element --->By.cssSelector: div.pac-item was found
18:21:58 [Test worker] INFO  manager.MyListener - Start search element --->By.id: make
18:21:58 [Test worker] INFO  manager.MyListener - The element --->By.id: make was found
18:21:58 [Test worker] INFO  manager.MyListener - Start search element --->By.id: model
18:21:58 [Test worker] INFO  manager.MyListener - The element --->By.id: model was found
18:21:58 [Test worker] INFO  manager.MyListener - Start search element --->By.id: year
18:21:58 [Test worker] INFO  manager.MyListener - The element --->By.id: year was found
18:21:58 [Test worker] INFO  manager.MyListener - Start search element --->By.id: engine
18:21:58 [Test worker] INFO  manager.MyListener - The element --->By.id: engine was found
18:21:58 [Test worker] INFO  manager.MyListener - Start search element --->By.id: fuel
18:21:58 [Test worker] INFO  manager.MyListener - The element --->By.id: fuel was found
18:21:58 [Test worker] INFO  manager.MyListener - Start search element --->By.xpath: .//option[@value = "Petrol"]
18:21:58 [Test worker] INFO  manager.MyListener - The element --->By.xpath: .//option[@value = "Petrol"] was found
